Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\global_pcb\Project Outputs for Free Documents\Pick Place\Pick Place for global.txt

========================================================================================================================
File Design Information:

Date:       17/07/25
Time:       11:41
Revision:   efbc23cf9ce970f8cf1afa1bb7ea2b6188fab6c5
Variant:    No variations
Units used: mil

Designator Comment                             Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                      
ST2        PTH-M2D5X5                          TopLayer PTH-M2D5X5                      3248.032      3405.512      0        "M2 PTH (2.5mm), 5mm pad"                                                                        
C53        4.7µF                               TopLayer CAPC1608X06L                    2625.984      1393.701      0        "Capacitor, X7S, ±10%, 10V"                                                                      
C52        10µF                                TopLayer CAPC1608X06L                    2625.984      1342.520      0        "Capacitor, X5R, ±20%"                                                                           
C51        "Capacitor 22µF +/-40% 16V 0805"    TopLayer CAPC0805(2012)145_L             2731.005      1435.533      180      "Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm"                                      
C50        "Capacitor 100µF +/-20% 6.3V 0805"  TopLayer CAPC0805(2012)145_L             2731.005      1372.541      180      "Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm"                                    
C49        "Capacitor 100 nF +/-10% 50 V 0805" TopLayer CAPC2013X95X50LL10T25           1125.984      728.346       90       "Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)"                                      
C48        4.7µF                               TopLayer CAPC1608X06L                    1181.102      724.409       90       "Capacitor, X7S, ±10%, 10V"                                                                      
C47        10µF                                TopLayer CAPC1608X06L                    1251.968      834.646       270      "Capacitor, X5R, ±20%"                                                                           
C46        "Capacitor 22µF +/-40% 16V 0805"    TopLayer CAPC0805(2012)145_L             1193.493      841.946       270      "Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm"                                      
C45        "Capacitor 100µF +/-20% 6.3V 0805"  TopLayer CAPC0805(2012)145_L             1126.564      841.553       270      "Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm"                                    
C44        "Capacitor 100 nF +/-10% 50 V 0805" TopLayer CAPC2013X95X50LL10T25           2318.898      2011.811      90       "Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)"                                      
C43        4.7µF                               TopLayer CAPC1608X06L                    2329.234      2120.572      270      "Capacitor, X7S, ±10%, 10V"                                                                      
C42        10µF                                TopLayer CAPC1608X06L                    2281.990      2119.588      270      "Capacitor, X5R, ±20%"                                                                           
C41        "Capacitor 22µF +/-40% 16V 0805"    TopLayer CAPC0805(2012)145_L             2255.905      1999.803      90       "Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm"                                      
C40        "Capacitor 100µF +/-20% 6.3V 0805"  TopLayer CAPC0805(2012)145_L             2185.039      1999.803      90       "Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm"                                    
C39        "Capacitor 1 uF +/- 10% 25 V 1206"  TopLayer CAPC3216X180X20ML20             593.013       2738.682      90       "Chip Capacitor, 1 uF, +/- 10%, 25 V, 1206 (3216 Metric)"                                        
C38        "Capacitor 4.7µF +/-40% 25V 0805"   TopLayer CAPC0805(2012)145_L             841.045       2978.643      270      "Chip Capacitor, 4.7µF +/-40%, 25V, 0805, Thickness 1.45 mm"                                     
C37        "Capacitor 10 uF +/- 10% 16 V 1206" TopLayer CAPC3216X180X50NL20T25          510.336       2868.604      0        "Chip Capacitor, 10 uF, +/- 10%, 16 V, 1206 (3216 Metric)"                                       
