Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"1.0µF","Capacitor, X7R, ±10%","C1","CAPC1608X06L","C0603-1µ0","1","C5199902"
"12pF","Capacitor, NP0, ±2%","C2, C3, C4, C5, C8, C11","CAPC1005X04L","C0402-12p","6","C1547"
"100nF","Capacitor, X7R, ±10%","C6, C16","CAPC1005X04L","C0402-100n","2","C1525"
"Capacitor 100µF +/-20% 6.3V 0805","Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm","C7, C21, C28, C29, C33, C40, C45, C50","CAPC0805(2012)145_L","CMP-001-00054-4","8","C141660"
"Capacitor 22µF +/-40% 16V 0805","Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm","C9, C23, C30, C34, C41, C46, C51","CAPC0805(2012)145_L","CMP-001-00081-4","7","C29277"
"100pF","Capacitor, NP0, ±5%","C10","CAPC1005X04L","C0402-100p","1","C1546"
"N.C.","Not mounted","C12, C14","CAPC1005X04L_NC","C0402-N.C.","2",""
"0.8pF","Capacitor, NP0, ±5%","C13","CAPC1005X04L","C0402-0.8p","1","C40459"
"1.2pF","Capacitor, NP0, ±0.1pF","C15","CAPC1005X04L","C0402-1.2p","1","C1551"
"10µF","Capacitor, X5R, ±20%","C17, C24, C31, C35, C42, C47, C52","CAPC1608X06L","C0603-10µ","7","C1691"
"4.7µF","Capacitor, X7S, ±10%, 10V","C18, C25, C32, C36, C43, C48, C53","CAPC1608X06L","C0603-4µ7-10V-X7S","7","C1705"
"Capacitor 100 nF +/-10% 50 V 0805","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)","C19, C20, C44, C49","CAPC2013X95X50LL10T25","CMP-001-00018-6","4","C1711"
"UCD0J102MNL1GS","No Description Available","C22","PCAP_8x10-ELECT_NCA","CMP-001-00083-1","1","C2162871"
"C1210C107M4PACTU","SMD Comm X5R, Ceramic, 100 uF, 20%, 16 VDC, X5R, SMD, MLCC, Temperature Stable, Class II, 1210","C26, C27","CAPC350280_280N_KEM","CMP-001-00126-1","2","C90143"
"Capacitor 10 uF +/- 10% 16 V 1206","Chip Capacitor, 10 uF, +/- 10%, 16 V, 1206 (3216 Metric)","C37","CAPC3216X180X50NL20T25","CMP-001-00016-6","1","C7432781"
"Capacitor 4.7µF +/-40% 25V 0805","Chip Capacitor, 4.7µF +/-40%, 25V, 0805, Thickness 1.45 mm","C38","CAPC0805(2012)145_L","CMP-001-00080-4","1","C1779"
"Capacitor 1 uF +/- 10% 25 V 1206","Chip Capacitor, 1 uF, +/- 10%, 25 V, 1206 (3216 Metric)","C39","CAPC3216X180X20ML20","CMP-001-00006-6","1","C385978"
"B330A-13-F","No Description Available","CR1","SDO_SMA_DIO","CMP-045-000000-1","1","C110485"
"SMAJ12CA","No Description Available","CR2, CR3, CR4","SMASeries_LTF","CMP-017-000000-1","3","C19077532"
"LTST-C190AKT","LED Uni-Color Orange, 100 mW, 30 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1","LTST-C190AKT-2_V","CMP-007-00021-2","1","C413462"
"MM8130-2600","Coaxial Connector with Switch","J1","COAXIAL-SWF","MM8130-2600","1",""
"SBH11-PBPC-D20-ST-BK","No Description Available","J2","CONN40_SBH11-PBPC-D20-ST-BK_SUL","CMP-010-000000-4","1","C167503"
"B4B-XH-A","Connector Header Through Hole 4 position 0.098 (2.50mm)","J3, J4, J5, J6, J7","JST_B4B-XH-A","CMP-002-00073-1","5","C594232"
"B5B-XH-A","Connector Header Through Hole 5 position 0.098 (2.50mm)","J8, J9, J10, J11","JST_B5B-XH-A","CMP-002-00076-1","4","C157991"
"B2B-XH-A","","J12","JST_B2B-XH-A","CMP-032-000000-1","1","C265283"
"S5B-ZR-SM4A-TF LF SN","No Description Available","J13, J14, J15, J16","CONN_S5B-ZR-SM4A-TF_JST","CMP-091-000000-1","4","C485355"
"PJ-102BH","2.5 x 6.5 mm, 5.0 A, Horizontal, Through Hole, Tapered Pins, Dc Power Jack Connector","J17","CUI_PJ-102BH","CMP-002-00071-2","1","C3095964"
"15nH","Inductor, 320mA, ±5%","L1","INDC1005X04L","L0402-15n","1","C76787"
"10µH","Inductor, 80mA, ±10%","L2","INDC1608X06L","L0603-10µ","1","C86752"
"3.9nH","Inductor, 170mA, ±0.1nH","L3","INDC1005X04L","L0402-3n9","1","C14033"
"MWSA1206S-101MT","3A 100uH ±20% 3.5A SMD,13.5x12.6mm Power Inductors ROHS","L4","MWSA1206S-101MT-Footprint-1","CMP-006-00038-1","1","C408533"
"Pin Header 2x5, 1.27mm","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud","P1","HDR_2x5-SMD-1.27mm-K","Pin Header 2x5 SMD, 1.27mm, KS","1","C4943297"
"S8050-J3Y","NPN SOT-23 Bipolar (BJT) ROHS","Q1","S8050-J3Y-Footprint-1","CMP-013-00038-1","1","C18221467"
"Resistor 10k +/-1% 0402 63 mW","Chip Resistor, 10 KOhm, +/- 1%, 63 mW, -55 to 155 degC, 0402 (1005 Metric)","R1, R2","RESC1005X40X25ML05T05","CMP-009-00019-5","2","C25531"
"Resistor 120R +/-5 % 0603 0.1 W","Chip Resistor, 120 Ohms, +/-5 %, 0.1 W, -55 to 155 degC, 0603","R3, R7","RESC0603(1608)_L","CMP-009-00176-3","2","C22787"
"Resistor 2K2  +/-5 % 0402 63 mW","Chip Resistor, 2,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R4","RESC0402(1005)_L","CMP-009-00166-3","1","C25879"
"Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R5, R6, R8, R9","RESC1005X40X25ML05T05","CMP-009-00030-5","4","C25900"
"Resistor 33R  +/-5 % 0402 63 mW","Chip Resistor, 33 Ohms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R10, R11, R12, R13","RESC0402(1005)_L","CMP-009-00143-4","4","C25105"
"Resistor 10K  +/-1 % 0402 63 mW","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402","R15","RESC0402(1005)_L","CMP-009-00149-3","1","C25531"
"PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","ST1, ST2, ST3, ST4","PTH-M2D5X5","CMP-00028-00004-2","4",""
"nRF52832-QFAAG0","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip","U1","QFN40P600X600X90-48N","nRF52832-QFAAG0","1","C3606606"
"LM2576WU","No Description Available","U3","TO-263-5_U_MCH","CMP-035-000000-1","1","C641106"
"MCP3008T-I/SL","10-bit ADC, SPI, 8-channel16 SOIC .150in T/R","U5","SOIC127P600X175-16N","CMP-021-000000-1","1","C2651321"
"SP3485EN-L","No Description Available","U6","NSOIC8_MXL","CMP-014-000000-1","1","C8963"
"32MHz","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±10ppm","X1","BT-XTAL_2016","XTAL_SMD2016_32MHz_8pF_Epson","1","C843260"
"32.768kHz","XTAL SMD 3215, 32.768kHz, 9pF, ±20ppm","X2","XTAL_3215","XTAL_SMD3215_32.768kHz_9pF_Epson","1","C97606"
