"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"L4","MWSA1206S-101MT","Top","MWSA1206S-101MT-Footprint-1","27.5951","58.9300","270","3A 100uH ±20% 3.5A SMD,13.5x12.6mm Power Inductors ROHS"
"ST2","PTH-M2D5X5","Top","PTH-M2D5X5","82.5000","86.5000","0","M2 PTH (2.5mm), 5mm pad"
"C53","4.7µF","Top","CAPC1608X06L","66.7000","35.4000","0","Capacitor, X7S, ±10%, 10V"
"C52","10µF","Top","CAPC1608X06L","66.7000","34.1000","0","Capacitor, X5R, ±20%"
"C51","Capacitor 22µF +/-40% 16V 0805","Top","CAPC0805(2012)145_L","69.3675","36.4625","180","Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm"
"C50","Capacitor 100µF +/-20% 6.3V 0805","Top","CAPC0805(2012)145_L","69.3675","34.8625","180","Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm"
"C49","Capacitor 100 nF +/-10% 50 V 0805","Top","CAPC2013X95X50LL10T25","28.6000","18.5000","90","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)"
"C48","4.7µF","Top","CAPC1608X06L","30.0000","18.4000","90","Capacitor, X7S, ±10%, 10V"
"C47","10µF","Top","CAPC1608X06L","31.8000","21.2000","270","Capacitor, X5R, ±20%"
"C46","Capacitor 22µF +/-40% 16V 0805","Top","CAPC0805(2012)145_L","30.3147","21.3854","270","Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm"
"C45","Capacitor 100µF +/-20% 6.3V 0805","Top","CAPC0805(2012)145_L","28.6147","21.3754","270","Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm"
"C44","Capacitor 100 nF +/-10% 50 V 0805","Top","CAPC2013X95X50LL10T25","58.9000","51.1000","90","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)"
"C43","4.7µF","Top","CAPC1608X06L","59.1625","53.8625","270","Capacitor, X7S, ±10%, 10V"
"C42","10µF","Top","CAPC1608X06L","57.9625","53.8375","270","Capacitor, X5R, ±20%"
"C41","Capacitor 22µF +/-40% 16V 0805","Top","CAPC0805(2012)145_L","57.3000","50.7950","90","Chip Capacitor, 22µF +/-40%, 16V, 0805, Thickness 1.45 mm"
"C40","Capacitor 100µF +/-20% 6.3V 0805","Top","CAPC0805(2012)145_L","55.5000","50.7950","90","Chip Capacitor, 100µF +/-20%, 6.3V, 0805, Thickness 1.45 mm"
"C39","Capacitor 1 uF +/- 10% 25 V 1206","Top","CAPC3216X180X20ML20","15.0625","69.5625","90","Chip Capacitor, 1 uF, +/- 10%, 25 V, 1206 (3216 Metric)"
"C38","Capacitor 4.7µF +/-40% 25V 0805","Top","CAPC0805(2012)145_L","21.3625","75.6575","270","Chip Capacitor, 4.7µF +/-40%, 25V, 0805, Thickness 1.45 mm"
"C37","Capacitor 10 uF +/- 10% 16 V 1206","Top","CAPC3216X180X50NL20T25","12.9625","72.8625","0","Chip Capacitor, 10 uF, +/- 10%, 16 V, 1206 (3216 Metric)"
"C20","Capacitor 100 nF +/-10% 50 V 0805","Top","CAPC2013X95X50LL10T25","72.4000","49.9000","0","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)"
"C19","Capacitor 100 nF +/-10% 50 V 0805","Top","CAPC2013X95X50LL10T25","64.8000","47.1000","0","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)"
"C18","4.7µF","Top","CAPC1608X06L","64.7000","48.5000","0","Capacitor, X7S, ±10%, 10V"
"C17","10µF","Top","CAPC1608X06L","64.7000","49.7000","0","Capacitor, X5R, ±20%"
"R15","Resistor 10K  +/-1 % 0402 63 mW","Top","RESC0402(1005)_L","78.5000","26.7000","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"J2","SBH11-PBPC-D20-ST-BK","Top","CONN40_SBH11-PBPC-D20-ST-BK_SUL","10.2300","35.5500","270","No Description Available"
"ST4","PTH-M2D5X5","Top","PTH-M2D5X5","82.5000","3.0000","0","M2 PTH (2.5mm), 5mm pad"
"ST3","PTH-M2D5X5","Top","PTH-M2D5X5","3.0000","3.0000","0","M2 PTH (2.5mm), 5mm pad"
"ST1","PTH-M2D5X5","Top","PTH-M2D5X5","3.5000","86.5000","0","M2 PTH (2.5mm), 5mm pad"
"J16","S5B-ZR-SM4A-TF LF SN","Top","CONN_S5B-ZR-SM4A-TF_JST","68.9000","4.1490","0","No Description Available"
"J15","S5B-ZR-SM4A-TF LF SN","Top","CONN_S5B-ZR-SM4A-TF_JST","53.6000","4.1490","0","No Description Available"
